,Province_State,FIPS,Combined_Key,Date,Confirmed_Cases,County_Name,order_code,Face_Masks_Required_in_Public
90,Missouri,29229,"Wright, Missouri, US",2020-04-21,9,Wright County,2.0,
91,Missouri,29229,"Wright, Missouri, US",2020-04-22,9,Wright County,2.0,
92,Missouri,29229,"Wright, Missouri, US",2020-04-23,9,Wright County,2.0,
93,Missouri,29229,"Wright, Missouri, US",2020-04-24,9,Wright County,2.0,
94,Missouri,29229,"Wright, Missouri, US",2020-04-25,9,Wright County,2.0,
95,Missouri,29229,"Wright, Missouri, US",2020-04-26,9,Wright County,2.0,
96,Missouri,29229,"Wright, Missouri, US",2020-04-27,9,Wright County,2.0,
97,Missouri,29229,"Wright, Missouri, US",2020-04-28,9,Wright County,2.0,
98,Missouri,29229,"Wright, Missouri, US",2020-04-29,10,Wright County,2.0,
99,Missouri,29229,"Wright, Missouri, US",2020-04-30,10,Wright County,2.0,
100,Missouri,29229,"Wright, Missouri, US",2020-05-01,10,Wright County,2.0,
101,Missouri,29229,"Wright, Missouri, US",2020-05-02,10,Wright County,2.0,
102,Missouri,29229,"Wright, Missouri, US",2020-05-03,10,Wright County,2.0,
103,Missouri,29229,"Wright, Missouri, US",2020-05-04,10,Wright County,2.0,
104,Missouri,29229,"Wright, Missouri, US",2020-05-05,10,Wright County,2.0,
105,Missouri,29229,"Wright, Missouri, US",2020-05-06,10,Wright County,2.0,
106,Missouri,29229,"Wright, Missouri, US",2020-05-07,10,Wright County,2.0,
107,Missouri,29229,"Wright, Missouri, US",2020-05-08,10,Wright County,2.0,
108,Missouri,29229,"Wright, Missouri, US",2020-05-09,10,Wright County,2.0,
109,Missouri,29229,"Wright, Missouri, US",2020-05-10,10,Wright County,2.0,
110,Missouri,29229,"Wright, Missouri, US",2020-05-11,10,Wright County,2.0,
111,Missouri,29229,"Wright, Missouri, US",2020-05-12,10,Wright County,2.0,
112,Missouri,29229,"Wright, Missouri, US",2020-05-13,10,Wright County,2.0,
113,Missouri,29229,"Wright, Missouri, US",2020-05-14,10,Wright County,2.0,
114,Missouri,29229,"Wright, Missouri, US",2020-05-15,10,Wright County,2.0,
115,Missouri,29229,"Wright, Missouri, US",2020-05-16,10,Wright County,2.0,
116,Missouri,29229,"Wright, Missouri, US",2020-05-17,10,Wright County,2.0,
117,Missouri,29229,"Wright, Missouri, US",2020-05-18,10,Wright County,2.0,
118,Missouri,29229,"Wright, Missouri, US",2020-05-19,11,Wright County,2.0,
119,Missouri,29229,"Wright, Missouri, US",2020-05-20,11,Wright County,2.0,
120,Missouri,29229,"Wright, Missouri, US",2020-05-21,11,Wright County,2.0,
121,Missouri,29229,"Wright, Missouri, US",2020-05-22,11,Wright County,2.0,
122,Missouri,29229,"Wright, Missouri, US",2020-05-23,11,Wright County,2.0,
123,Missouri,29229,"Wright, Missouri, US",2020-05-24,11,Wright County,2.0,
124,Missouri,29229,"Wright, Missouri, US",2020-05-25,11,Wright County,2.0,
125,Missouri,29229,"Wright, Missouri, US",2020-05-26,11,Wright County,2.0,
126,Missouri,29229,"Wright, Missouri, US",2020-05-27,11,Wright County,2.0,
127,Missouri,29229,"Wright, Missouri, US",2020-05-28,11,Wright County,2.0,
128,Missouri,29229,"Wright, Missouri, US",2020-05-29,11,Wright County,2.0,
129,Missouri,29229,"Wright, Missouri, US",2020-05-30,11,Wright County,2.0,
130,Missouri,29229,"Wright, Missouri, US",2020-05-31,11,Wright County,2.0,
131,Missouri,29229,"Wright, Missouri, US",2020-06-01,11,Wright County,2.0,
132,Missouri,29229,"Wright, Missouri, US",2020-06-02,11,Wright County,2.0,
133,Missouri,29229,"Wright, Missouri, US",2020-06-03,11,Wright County,2.0,
134,Missouri,29229,"Wright, Missouri, US",2020-06-04,11,Wright County,2.0,
135,Missouri,29229,"Wright, Missouri, US",2020-06-05,11,Wright County,2.0,
136,Missouri,29229,"Wright, Missouri, US",2020-06-06,13,Wright County,2.0,
